model_variant,pi_mem,branch_time_in_parent,parent_time_units
BCC-CSM2-MR_r1i1p1f1,r1i1p1f1,0.0,days since 1850-01-01
BCC-ESM1_r1i1p1f1,r1i1p1f1,0.0,days since 1850-01-01
CAMS-CSM1-0_r1i1p1f1,r1i1p1f1,3030.0,days since 3030-01-01
CAMS-CSM1-0_r2i1p1f1,r1i1p1f1,3035.0,days since 3035-01-01
CESM2-WACCM_r1i1p1f1,r1i1p1f1,25185.0,days since 0001-01-01 00:00:00
CESM2_r1i1p1f1,r1i1p1f1,182865.0,days since 0001-01-01 00:00:00
CNRM-CM6-1_r1i1p1f2,r1i1p1f2,0.0,days since 1850-01-01 00:00:00
CNRM-CM6-1_r2i1p1f2,r2i1p1f2,0.0,days since 1850-01-01 00:00:00
CNRM-CM6-1_r3i1p1f2,r3i1p1f2,0.0,days since 1850-01-01 00:00:00
CNRM-CM6-1_r4i1p1f2,r4i1p1f2,0.0,days since 1850-01-01 00:00:00
CNRM-CM6-1_r5i1p1f2,r5i1p1f2,0.0,days since 1850-01-01 00:00:00
CNRM-CM6-1_r6i1p1f2,r6i1p1f2,0.0,days since 1850-01-01 00:00:00
CNRM-ESM2-1_r1i1p1f2,r1i1p1f2,0.0,days since 1850-01-01 00:00:00
CNRM-ESM2-1_r2i1p1f2,r2i1p1f2,12053.0,days since 1850-01-01 00:00:00
CNRM-ESM2-1_r3i1p1f2,r1i1p1f2,33237.0,days since 1850-01-01 00:00:00
CanESM5_r1i1p1f1,r1i1p1f1,1223115.0,days since 1850-01-01 0:0:0.0
CanESM5_r1i1p2f1,r1i1p2f1,1350500.0,days since 1850-01-01 0:0:0.0
EC-Earth3-Veg_r1i1p1f1,r1i1p1f1,0.0,days since 1850-01-01
GFDL-CM4_r1i1p1f1,r1i1p1f1,36500.0,days since 0001-1-1
GFDL-ESM4_r1i1p1f1,r1i1p1f1,36500.0,days since 0001-1-1
GISS-E2-1-G_r102i1p1f1,r102i1p1f1,0.0,days since 1850-1-1
GISS-E2-1-G_r1i1p1f1,r1i1p1f1,0.0,days since 4150-1-1
GISS-E2-1-G_r1i1p1f3,r1i1p1f3,0.0,days since 2900-1-1
GISS-E2-1-G_r1i1p3f1,r1i1p3f1,0.0,days since 2000-1-1
GISS-E2-1-G_r1i1p5f1,r1i1p5f1,0.0,days since 2000-1-1
GISS-E2-1-H_r1i1p1f1,r1i1p1f1,0.0,days since 3180-1-1
GISS-E2-1-H_r1i1p3f1,r1i1p3f1,0.0,days since 2000-1-1
HadGEM3-GC31-LL_r1i1p1f3,r1i1p1f1,0.0,days since 1850-01-01-00-00-00
IPSL-CM6A-LR_r10i1p1f1,r1i1p1f1,7578.0,days since 1850-01-01 00:00:00
IPSL-CM6A-LR_r11i1p1f1,r1i1p1f1,7609.0,days since 1850-01-01 00:00:00
IPSL-CM6A-LR_r12i1p1f1,r1i1p1f1,7639.0,days since 1850-01-01 00:00:00
IPSL-CM6A-LR_r1i1p1f1,r1i1p1f1,7305.0,days since 1850-01-01 00:00:00
IPSL-CM6A-LR_r2i1p1f1,r1i1p1f1,7336.0,days since 1850-01-01 00:00:00
IPSL-CM6A-LR_r3i1p1f1,r1i1p1f1,7364.0,days since 1850-01-01 00:00:00
IPSL-CM6A-LR_r4i1p1f1,r1i1p1f1,7395.0,days since 1850-01-01 00:00:00
IPSL-CM6A-LR_r5i1p1f1,r1i1p1f1,7425.0,days since 1850-01-01 00:00:00
IPSL-CM6A-LR_r6i1p1f1,r1i1p1f1,7456.0,days since 1850-01-01 00:00:00
IPSL-CM6A-LR_r7i1p1f1,r1i1p1f1,7486.0,days since 1850-01-01 00:00:00
IPSL-CM6A-LR_r8i1p1f1,r1i1p1f1,7517.0,days since 1850-01-01 00:00:00
IPSL-CM6A-LR_r9i1p1f1,r1i1p1f1,7548.0,days since 1850-01-01 00:00:00
MIROC6_r1i1p1f1,r1i1p1f1,0.0,days since 3200-1-1
MRI-ESM2-0_r10i1p1f1,r1i1p1f1,273.0,days since 1850-01-01
MRI-ESM2-0_r11i1p1f1,r1i1p1f1,304.0,days since 1850-01-01
MRI-ESM2-0_r12i1p1f1,r1i1p1f1,334.0,days since 1850-01-01
MRI-ESM2-0_r13i1p1f1,r1i1p1f1,365.0,days since 1850-01-01
MRI-ESM2-0_r1i1p1f1,r1i1p1f1,0.0,days since 1850-01-01
MRI-ESM2-0_r1i2p1f1,r1i2p1f1,0.0,days since 1850-01-01
MRI-ESM2-0_r2i1p1f1,r1i1p1f1,31.0,days since 1850-01-01
MRI-ESM2-0_r3i1p1f1,r1i1p1f1,59.0,days since 1850-01-01
MRI-ESM2-0_r4i1p1f1,r1i1p1f1,90.0,days since 1850-01-01
MRI-ESM2-0_r5i1p1f1,r1i1p1f1,120.0,days since 1850-01-01
MRI-ESM2-0_r6i1p1f1,r1i1p1f1,151.0,days since 1850-01-01
MRI-ESM2-0_r7i1p1f1,r1i1p1f1,181.0,days since 1850-01-01
MRI-ESM2-0_r8i1p1f1,r1i1p1f1,212.0,days since 1850-01-01
MRI-ESM2-0_r9i1p1f1,r1i1p1f1,243.0,days since 1850-01-01
SAM0-UNICON_r1i1p1f1,r1i1p1f1,99645.0,days since 0001-01-01
UKESM1-0-LL_r1i1p1f2,r1i1p1f2,39600.0,days since 1850-01-01-00-00-00
E3SM-1-0_r1i1p1f1,r1i1p1f1,36500.0,days since 0001-01-01
NESM3_r1i1p1f1,r1i1p1f1,18262.0,days since 1000-01-01 00:00:00
MIROC-ES2L_r1i1p1f2,r1i1p1f2,0.0,days since 1850-1-1
NorESM2-LM_r1i1p1f1,r1i1p1f1,430335.0,days since 0421-01-01
MCM-UA-1-0_r1i1p1f1,r1i1p1f1,0.0,days since 0001-01-01 (noleap)
EC-Earth3_r3i1p1f1,r1i1p1f1,0.0,days since 1850-01-01
EC-Earth3_r8i1p1f1,r1i1p1f1,252017.,days since 1850-01-01
MPI-ESM1-2-HR_r1i1p1f1,r1i1p1f1,0.0,days since 1850-1-1 00:00:00
FGOALS-f3-L_r1i1p1f1,r1i1p1f1,12345.0,days since 0001-01-01
FGOALS-f3-L_r2i1p1f1,r1i1p1f1,12345.0,days since 0001-01-01
FGOALS-f3-L_r3i1p1f1,r1i1p1f1,12345.0,days since 0001-01-01
NorCPM1_r1i1p1f1,r1i1p1f1,0.0,days since 0001-01-01
INM-CM4-8_r1i1p1f1,r1i1p1f1,35405.0,days since 1850-01-01
INM-CM5-0_r1i1p1f1,r1i1p1f1,90885.0,days since 1850-01-01
GISS-E2-2-G_r1i1p1f1,r1i1p1f1,0.0,days since 2000-1-1
CNRM-CM6-1-HR_r1i1p1f2,r1i1p1f2,0.0,days since 1850-01-01 00:00:00
AWI-CM-1-1-MR_r1i1p1f1,r1i1p1f1,90945.0,days since 2401-01-01 00:00:00
NorESM2-MM_r1i1p1f1,r1i1p1f1,438000.0,days since 0001-01-01
ACCESS-CM2_r1i1p1f1,r1i1p1f1,0.0,days since 0950-01-01
ACCESS-ESM1-5_r1i1p1f1,r1i1p1f1,0.0,days since 0101-01-01
IITM-ESM_r1i1p1f1,r1i1p1f1,0.0,days since 1850-01-01
HadGEM3-GC31-MM_r1i1p1f3,r1i1p1f1,0.0,days since 1850-01-01
KACE-1-0-G_r1i1p1f1,r1i1p1f1,0.0,days since 1850-01-01
FGOALS-g3_r1i1p1f1,r1i1p1f1,168630.0,days since 0001-01-01
TaiESM1_r1i1p1f1,r1i1p1f1,438000.0,days since 0701-01-01
FIO-ESM-2-0_r1i1p1f1,r1i1p1f1,109500.0,days since 0001-01-01 00:00:00
FIO-ESM-2-0_r2i1p1f1,r1i1p1f1,120085.0,days since 0001-01-01 00:00:00
FIO-ESM-2-0_r3i1p1f1,r1i1p1f1,127385.0,days since 0001-01-01 00:00:00
MPI-ESM1-2-LR_r1i1p1f1,r1i1p1f1,0.0,days since 1850-1-1 00:00:00
CAS-ESM2-0_r1i1p1f1,r1i1p1f1,0.0,days since 1850-01-01
CESM2-FV2_r1i1p1f1,r1i1p1f1,116800.0,days since 0001-01-01 00:00:00
CESM2-WACCM-FV2_r1i1p1f1,r1i1p1f1,109500.0,days since 0001-01-01 00:00:00
CIESM_r1i1p1f1,r2i1p1f1,219000.0,days since 0001-01-01
